EmployeeKey,ParentEmployeeKey,EmpNatIDAltKey,ParentEmpNatIDAltKey,SalesTerritoryKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status,EmployeePhoto
87,23,521265716,NULL,11,Pilar,Ackerman,G,0,Shipping and Receiving Supervisor,2008-08-02,1972-04-09,adventure-works\pilar0,pilar0@adventure-works.com,577-555-0185,S,Pilar Ackerman,577-555-0185,1,M,2,19.2308,93,66,1,0,Shipping and Receiving,2008-08-02,NULL,Current,0xFFD8FFE00010xFCD6773E5DD
88,188,746373306,NULL,11,David,Yalovsky,A,0,Production Technician - WC30,2008-08-02,1981-03-03,adventure-works\david3,david3@adventure-works.com,373-555-0142,S,David Yalovsky,373-555-0142,0,M,1,9.5000,32,36,1,0,Production,2008-08-02,NULL,Current,0xFFD8FFE00010x21096F0303F
89,23,750905084,NULL,11,David,Hamilton,P,0,Production Supervisor - WC40,2008-08-03,1983-01-30,adventure-works\david4,david4@adventure-works.com,986-555-0177,S,David Hamilton,986-555-0177,0,M,2,25.0000,73,56,1,0,Production,2008-08-03,NULL,Current,0xFFD8FFE00010x2493935EE95
90,126,514829225,NULL,11,Laura,Steele,C,0,Production Technician - WC45,2008-08-03,1980-07-25,adventure-works\laura0,laura0@adventure-works.com,777-555-0141,S,Laura Steele,777-555-0141,0,F,1,10.0000,75,57,1,0,Production,2008-08-03,NULL,Current,0xFFD8FFE00010xC01FBA40EE0
91,18,750246141,NULL,11,Margie,Shoop,W,0,Production Technician - WC60,2008-08-04,1985-12-18,adventure-works\margie0,margie0@adventure-works.com,818-555-0128,M,Margie Shoop,818-555-0128,0,F,1,12.4500,18,29,1,0,Production,2008-08-04,NULL,Current,0xFFD8FFE00010x3E36FC45BAB
92,204,345106466,NULL,11,Zainal,Arifin,T,0,Document Control Manager,2008-08-04,1975-08-30,adventure-works\zainal0,zainal0@adventure-works.com,204-555-0115,M,Zainal Arifin,204-555-0115,0,M,2,17.7885,77,58,1,0,Document Control,2008-08-04,NULL,Current,0xFFD8FFE00010xF48E8CAF0F8
93,214,19312190,NULL,11,Lorraine,Nay,O,0,Production Technician - WC40,2008-08-04,1988-06-26,adventure-works\lorraine0,lorraine0@adventure-works.com,845-555-0184,M,Lorraine Nay,845-555-0184,0,F,1,15.0000,49,44,1,0,Production,2008-08-04,NULL,Current,0xFFD8FFE00010xD12513E0A78
94,147,212801092,NULL,11,Fadi,Fakhouri,K,0,Production Technician - WC20,2008-08-04,1988-09-15,adventure-works\fadi0,fadi0@adventure-works.com,935-555-0116,S,Fadi Fakhouri,935-555-0116,0,M,1,14.0000,16,28,1,0,Production,2008-08-04,NULL,Current,0xFFD8FFE00010x7B89192681F
95,53,769680433,NULL,11,Ryan,Cornelsen,L,0,Production Technician - WC40,2008-08-05,1972-01-12,adventure-works\ryan0,ryan0@adventure-works.com,208-555-0114,M,Ryan Cornelsen,208-555-0114,0,M,1,15.0000,59,49,1,0,Production,2008-08-05,NULL,Current,0xFFD8FFE00010xA72BD38FCBD
96,142,60517918,NULL,11,Candy,Spoon,L,0,Accounts Receivable Specialist,2008-08-06,1975-09-23,adventure-works\candy0,candy0@adventure-works.com,920-555-0177,S,Candy Spoon,920-555-0177,0,F,2,19.0000,61,50,1,0,Finance,2008-08-06,NULL,Current,0xFFD8FFE00010xC7391EBFFD6
97,76,431859843,NULL,11,Nuan,Yu,NULL,0,Production Technician - WC50,2008-08-06,1978-10-27,adventure-works\nuan0,nuan0@adventure-works.com,913-555-0184,S,Nuan Yu,913-555-0184,0,M,1,11.0000,2,21,1,0,Production,2008-08-06,NULL,Current,0xFFD8FFE00010x98612034B6F
98,46,621209647,NULL,11,William,Vong,S,0,Scheduling Assistant,2008-08-07,1981-06-06,adventure-works\william0,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,0,M,2,16.0000,45,42,1,0,Production Control,2008-08-07,2011-03-31,NULL,0xFFD8FFE00010x32478DD57AF
99,46,621209647,NULL,11,William,Vong,S,0,Scheduling Assistant,2008-08-07,1981-06-06,adventure-works\william0,william0@adventure-works.com,148-555-0145,M,William Vong,148-555-0145,0,M,2,16.0000,45,42,1,0,Production Control,2011-04-01,NULL,Current,0xFFD8FFE00010x32478DD57AF
100,177,420023788,NULL,11,Bjorn,Rettig,M,0,Production Technician - WC30,2008-08-07,1989-06-06,adventure-works\bjorn0,bjorn0@adventure-works.com,199-555-0117,S,Bjorn Rettig,199-555-0117,0,M,1,9.5000,43,41,1,0,Production,2008-08-07,NULL,Current,0xFFD8FFE00010xE50FC6072C3
101,201,199546871,NULL,11,Scott,Gode,R,0,Production Technician - WC45,2008-08-08,1986-09-10,adventure-works\scott0,scott0@adventure-works.com,391-555-0138,M,Scott Gode,391-555-0138,0,M,1,10.0000,86,63,1,0,Production,2008-08-08,NULL,Current,0xFFD8FFE00010xFDF70F37692
102,89,830150469,NULL,11,Michael,Rothkugel,L,0,Production Technician - WC40,2008-08-10,1990-08-04,adventure-works\michael1,michael1@adventure-works.com,454-555-0119,S,Michael Rothkugel,454-555-0119,0,M,1,15.0000,70,55,1,0,Production,2008-08-10,NULL,Current,0xFFD8FFE00010xC556CBEBC6B
103,147,322160340,NULL,11,Lane,Sacksteder,M,0,Production Technician - WC20,2008-08-11,1974-04-23,adventure-works\lane0,lane0@adventure-works.com,200-555-0117,M,Lane Sacksteder,200-555-0117,0,M,1,14.0000,11,25,1,0,Production,2008-08-11,NULL,Current,0xFFD8FFE00010xCF09F309C28
104,16,827686041,NULL,11,Pete,Male,C,0,Production Technician - WC50,2008-08-11,1976-09-03,adventure-works\pete0,pete0@adventure-works.com,768-555-0123,S,Pete Male,768-555-0123,0,M,1,11.0000,13,26,1,0,Production,2008-08-11,NULL,Current,0xFFD8FFE00010xA7784E307CE
105,44,671089628,NULL,11,Dan,Bacon,K,0,Application Specialist,2008-08-11,1981-01-24,adventure-works\dan0,dan0@adventure-works.com,166-555-0159,M,Dan Bacon,166-555-0159,1,M,2,27.4038,72,56,1,0,Information Services,2008-08-11,NULL,Current,0xFFD8FFE00010x6655CFDCC03
106,143,231203233,NULL,11,David,Barber,M,0,Assistant to the Chief Financial Officer,2008-08-12,1964-01-20,adventure-works\david5,david5@adventure-works.com,477-555-0132,S,David Barber,477-555-0132,0,M,2,13.4615,56,48,1,0,Finance,2008-08-12,NULL,Current,0xFFD8FFE00010x83B998DAAC9
107,76,204035155,NULL,11,Lolan,Song,B,0,Production Technician - WC50,2008-08-12,1972-08-24,adventure-works\lolan0,lolan0@adventure-works.com,582-555-0178,M,Lolan Song,582-555-0178,0,M,1,11.0000,7,23,1,0,Production,2008-08-12,NULL,Current,0xFFD8FFE00010x286ED7E5A9F
108,214,992874797,NULL,11,Paula,Nartker,R,0,Production Technician - WC40,2008-08-12,1986-09-10,adventure-works\paula1,paula1@adventure-works.com,476-555-0119,M,Paula Nartker,476-555-0119,0,F,1,15.0000,54,47,1,0,Production,2008-08-12,NULL,Current,0xFFD8FFE00010xD77528C5CCF
109,7,767955365,NULL,11,Mary,Gibson,E,0,Marketing Specialist,2008-08-12,1962-04-13,adventure-works\mary0,mary0@adventure-works.com,531-555-0183,M,Mary Gibson,531-555-0183,0,F,2,14.4231,46,43,1,0,Marketing,2008-08-12,NULL,Current,0xFFD8FFE00010xE23F359D079
110,40,342607223,NULL,11,Mindaugas,Krapauskas,J,0,Production Technician - WC50,2008-08-13,1977-12-05,adventure-works\mindaugas0,mindaugas0@adventure-works.com,637-555-0120,M,Mindaugas Krapauskas,637-555-0120,0,M,1,11.0000,97,68,1,0,Production,2008-08-13,NULL,Current,0xFFD8FFE00010x1BE1CB2B792
111,23,45615666,NULL,11,Eric,Gubbels,NULL,0,Production Supervisor - WC20,2008-08-14,1984-08-19,adventure-works\eric0,eric0@adventure-works.com,260-555-0119,M,Eric Gubbels,260-555-0119,0,M,2,25.0000,40,40,1,0,Production,2008-08-14,NULL,Current,0xFFD8FFE00010x4D43C37A958
112,NULL,295847284,NULL,11,Ken,S nchez,J,0,Chief Executive Officer,2008-08-14,1968-08-29,adventure-works\ken0,ken0@adventure-works.com,697-555-0142,S,Ken S nchez,697-555-0142,1,M,2,125.5000,99,69,1,0,Executive,2008-08-14,NULL,Current,0xFFD8FFE00010x0B88A941B70
113,138,733022683,NULL,11,Jason,Watters,M,0,Production Technician - WC30,2008-08-14,1988-07-07,adventure-works\jason0,jason0@adventure-works.com,571-555-0179,S,Jason Watters,571-555-0179,0,M,1,9.5000,38,39,1,0,Production,2008-08-14,NULL,Current,0xFFD8FFE00010xA4912AE7807
114,43,381772114,NULL,11,Mark,Harrington,L,0,Quality Assurance Technician,2008-08-15,1985-11-28,adventure-works\mark0,mark0@adventure-works.com,147-555-0179,S,Mark Harrington,147-555-0179,0,M,2,10.5769,83,61,1,0,Quality Assurance,2008-08-15,NULL,Current,0xFFD8FFE00010x74C069319F6
115,163,187369436,NULL,11,Janeth,Esteves,M,0,Production Technician - WC45,2008-08-15,1972-02-22,adventure-works\janeth0,janeth0@adventure-works.com,540-555-0191,S,Janeth Esteves,540-555-0191,0,F,1,10.0000,81,60,1,0,Production,2008-08-15,NULL,Current,0xFFD8FFE00010x3F446FCEBF3
116,188,364818297,NULL,11,Marc,Ingle,J,0,Production Technician - WC30,2008-08-16,1986-05-24,adventure-works\marc0,marc0@adventure-works.com,234-555-0169,M,Marc Ingle,234-555-0169,0,M,1,9.5000,22,31,1,0,Production,2008-08-16,NULL,Current,0xFFD8FFE00010x006E5F8649F
117,162,658797903,NULL,11,Gigi,Matthew,N,0,Research and Development Engineer,2008-08-16,1978-08-21,adventure-works\gigi0,gigi0@adventure-works.com,185-555-0186,M,Gigi Matthew,185-555-0186,1,F,2,40.8654,63,51,1,0,Research and Development,2008-08-16,NULL,Current,0xFFD8FFE00010xDFACD9FC48F
118,111,886023130,NULL,11,Paul,Singh,R,0,Production Technician - WC20,2008-08-17,1990-06-04,adventure-works\paul1,paul1@adventure-works.com,727-555-0112,M,Paul Singh,727-555-0112,0,M,1,14.0000,6,23,1,0,Production,2008-08-17,NULL,Current,0xFFD8FFE00010xCE079A6092F
119,214,749211824,NULL,11,Frank,Lee,T,0,Production Technician - WC40,2008-08-17,1987-04-06,adventure-works\frank0,frank0@adventure-works.com,158-555-0191,M,Frank Lee,158-555-0191,0,M,1,15.0000,56,48,1,0,Production,2008-08-17,NULL,Current,0xFFD8FFE00010x8F0851FCABF
120,44,643805155,NULL,11,Fran‡ois,Ajenstat,P,0,Database Administrator,2008-08-17,1980-06-13,adventure-works\fran‡ois0,fran‡ois0@adventure-works.com,785-555-0110,S,Fran‡ois Ajenstat,785-555-0110,1,M,2,38.4615,67,53,1,0,Information Services,2008-08-17,NULL,Current,0xFFD8FFE00010x9704E390E48
121,16,92096924,NULL,11,Diane,Tibbott,H,0,Production Technician - WC50,2008-08-18,1989-03-09,adventure-works\diane2,diane2@adventure-works.com,361-555-0180,S,Diane Tibbott,361-555-0180,0,F,1,11.0000,8,24,1,0,Production,2008-08-18,NULL,Current,0xFFD8FFE00010xB072AB29FE4
122,7,72636981,NULL,11,Jill,Williams,A,0,Marketing Specialist,2008-08-18,1979-01-16,adventure-works\jill0,jill0@adventure-works.com,510-555-0121,M,Jill Williams,510-555-0121,0,F,2,14.4231,47,43,1,0,Marketing,2008-08-18,NULL,Current,0xFFD8FFE00010x155DB8C57B6
123,40,563680513,NULL,11,Angela,Barbariol,W,0,Production Technician - WC50,2008-08-20,1990-12-29,adventure-works\angela0,angela0@adventure-works.com,150-555-0194,S,Angela Barbariol,150-555-0194,0,F,1,11.0000,92,66,1,0,Production,2008-08-20,NULL,Current,0xFFD8FFE00010x38FC335CFF0
124,87,584205124,NULL,11,Matthias,Berndt,T,0,Shipping and Receiving Clerk,2008-08-20,1973-06-11,adventure-works\matthias0,matthias0@adventure-works.com,139-555-0120,M,Matthias Berndt,139-555-0120,0,M,2,9.5000,94,67,1,0,Shipping and Receiving,2008-08-20,NULL,Current,0x89504E470D00x11B125B1C62
125,9,458159238,NULL,11,Bryan,Baker,NULL,0,Production Technician - WC60,2008-08-21,1973-03-27,adventure-works\bryan0,bryan0@adventure-works.com,712-555-0113,S,Bryan Baker,712-555-0113,0,M,1,12.4500,35,37,1,0,Production,2008-08-21,NULL,Current,0xFFD8FFE00010xFF0084F3E13
126,23,712885347,NULL,11,Jeff,Hay,V,0,Production Supervisor - WC45,2008-08-21,1976-08-15,adventure-works\jeff0,jeff0@adventure-works.com,350-555-0167,M,Jeff Hay,350-555-0167,0,M,2,25.0000,74,57,1,0,Production,2008-08-21,NULL,Current,0xFFD8FFE00010x3F81FE2CF11
127,188,87268837,NULL,11,Eugene,Zabokritski,R,0,Production Technician - WC30,2008-08-21,1987-02-12,adventure-works\eugene0,eugene0@adventure-works.com,241-555-0191,S,Eugene Zabokritski,241-555-0191,0,M,1,9.5000,33,36,1,0,Production,2008-08-21,NULL,Current,0xFFD8FFE00010x399235EA1BD
128,186,969985265,NULL,11,Barbara,Decker,S,0,Production Technician - WC20,2008-08-22,1984-07-29,adventure-works\barbara0,barbara0@adventure-works.com,119-555-0192,M,Barbara Decker,119-555-0192,0,F,1,14.0000,17,28,1,0,Production,2008-08-22,NULL,Current,0xFFD8FFE00010x77E1D689A17
129,126,539490372,NULL,11,Chris,Preston,T,0,Production Technician - WC45,2008-08-22,1988-07-16,adventure-works\chris0,chris0@adventure-works.com,200-555-0112,M,Chris Preston,200-555-0112,0,M,1,10.0000,76,58,1,0,Production,2008-08-22,NULL,Current,0xFFD8FFE00010x0DCF9B1B804
130,92,242381745,NULL,11,Sean,Chai,N,0,Document Control Assistant,2008-08-22,1986-10-10,adventure-works\sean1,sean1@adventure-works.com,205-555-0132,S,Sean Chai,205-555-0132,0,M,2,10.2500,78,59,1,0,Document Control,2008-08-22,NULL,Current,0xFFD8FFE00010xF5D96145437
131,44,929666391,NULL,11,Dan,Wilson,B,0,Database Administrator,2008-08-22,1975-08-06,adventure-works\dan1,dan1@adventure-works.com,653-555-0144,M,Dan Wilson,653-555-0144,1,M,2,38.4615,66,53,1,0,Information Services,2008-08-22,NULL,Current,0xFFD8FFE00010x4B822685647
132,18,948320468,NULL,11,Mark,McArthur,K,0,Production Technician - WC60,2008-08-23,1979-04-25,adventure-works\mark1,mark1@adventure-works.com,417-555-0154,S,Mark McArthur,417-555-0154,0,M,1,12.4500,19,29,1,0,Production,2008-08-23,NULL,Current,0xFFD8FFE00010x6535F451A19
133,142,931190412,NULL,11,Bryan,Walton,A,0,Accounts Receivable Specialist,2008-08-24,1984-04-20,adventure-works\bryan1,bryan1@adventure-works.com,935-555-0199,S,Bryan Walton,935-555-0199,0,M,2,19.0000,62,51,1,0,Finance,2008-08-24,NULL,Current,0xFFD8FFE00010xFF00F654F85
134,76,153288994,NULL,11,Houman,Pournasseh,N,0,Production Technician - WC50,2008-08-25,1971-03-30,adventure-works\houman0,houman0@adventure-works.com,180-555-0136,M,Houman Pournasseh,180-555-0136,0,M,1,11.0000,3,21,1,0,Production,2008-08-25,NULL,Current,0xFFD8FFE00010xEB915F97C2B
135,46,981495526,NULL,11,Sairaj,Uddin,L,0,Scheduling Assistant,2008-08-26,1987-07-22,adventure-works\sairaj0,sairaj0@adventure-works.com,500-555-0159,M,Sairaj Uddin,500-555-0159,0,M,2,16.0000,46,43,1,0,Production Control,2008-08-26,NULL,Current,0xFFD8FFE00010xF2F15D9FC0B
136,177,363996959,NULL,11,Michiko,Osada,F,0,Production Technician - WC30,2008-08-26,1982-01-25,adventure-works\michiko0,michiko0@adventure-works.com,984-555-0148,S,Michiko Osada,984-555-0148,0,M,1,9.5000,44,42,1,0,Production,2008-08-26,NULL,Current,0xFFD8FFE00010xF69C88500F7
137,188,585408256,NULL,11,Benjamin,Martin,R,0,Production Technician - WC30,2008-08-27,1985-08-05,adventure-works\benjamin0,benjamin0@adventure-works.com,533-555-0111,S,Benjamin Martin,533-555-0111,0,M,1,9.5000,28,34,1,0,Production,2008-08-27,NULL,Current,0xFFD8FFE00010xD9FA4FF8C51
138,23,386315192,NULL,11,Cynthia,Randall,S,0,Production Supervisor - WC30,2008-08-27,1981-03-18,adventure-works\cynthia0,cynthia0@adventure-works.com,352-555-0138,S,Cynthia Randall,352-555-0138,0,F,2,25.0000,69,54,1,0,Production,2008-08-27,NULL,Current,0xFFD8FFE00010x743F89DE16B
139,201,167554340,NULL,11,Kathie,Flood,E,0,Production Technician - WC45,2008-08-27,1990-06-01,adventure-works\kathie0,kathie0@adventure-works.com,446-555-0118,M,Kathie Flood,446-555-0118,0,F,1,10.0000,87,63,1,0,Production,2008-08-27,NULL,Current,0xFFD8FFE00010x5D0C6465430
140,18,410742000,NULL,11,Britta,Simon,L,0,Production Technician - WC60,2008-08-29,1989-04-28,adventure-works\britta0,britta0@adventure-works.com,955-555-0169,M,Britta Simon,955-555-0169,0,F,1,12.4500,14,27,1,0,Production,2008-08-29,NULL,Current,0x89504E470D00x1AD597BE1C2
141,214,746201340,NULL,11,Brian,Lloyd,T,0,Production Technician - WC40,2008-08-29,1976-09-10,adventure-works\brian0,brian0@adventure-works.com,110-555-0182,S,Brian Lloyd,110-555-0182,0,M,1,15.0000,55,47,1,0,Production,2008-08-29,NULL,Current,0xFFD8FFE00010x7A901CD2D7E
142,143,30845,NULL,11,David,Liu,J,0,Accounts Manager,2008-08-30,1983-02-05,adventure-works\david6,david6@adventure-works.com,646-555-0185,M,David Liu,646-555-0185,1,M,2,34.7356,57,48,1,0,Finance,2008-08-30,NULL,Current,0xFFD8FFE00010x4A9A9E7BF0B
143,112,184188301,NULL,11,Laura,Norman,F,0,Chief Financial Officer,2008-08-31,1975-08-06,adventure-works\laura1,laura1@adventure-works.com,615-555-0110,M,Laura Norman,615-555-0110,1,F,2,60.0962,0,20,1,0,Executive,2008-08-31,2013-06-13,NULL,0xFFD8FFE00010xCB2DFE0BF89
144,112,184188301,NULL,11,Laura,Norman,F,0,Chief Financial Officer,2008-08-31,1975-08-06,adventure-works\laura1,laura1@adventure-works.com,615-555-0110,M,Laura Norman,615-555-0110,1,F,2,60.0962,0,20,1,0,Executive,2013-06-13,NULL,Current,0xFFD8FFE00010xCB2DFE0BF89
145,40,398737566,NULL,11,Michael,Patten,W,0,Production Technician - WC50,2008-08-31,1973-12-01,adventure-works\michael2,michael2@adventure-works.com,441-555-0195,S,Michael Patten,441-555-0195,0,M,1,11.0000,98,69,1,0,Production,2008-08-31,NULL,Current,0xFFD8FFE00010x55D0A142009
146,138,764853868,NULL,11,Andy,Ruth,M,0,Production Technician - WC30,2008-08-31,1983-05-20,adventure-works\andy0,andy0@adventure-works.com,118-555-0110,M,Andy Ruth,118-555-0110,0,M,1,9.5000,39,39,1,0,Production,2008-08-31,NULL,Current,0xFFD8FFE00010xBFAA4D32E62
147,23,319472946,NULL,11,Yuhong,Li,L,0,Production Supervisor - WC20,2008-09-01,1976-11-04,adventure-works\yuhong0,yuhong0@adventure-works.com,965-555-0155,M,Yuhong Li,965-555-0155,0,M,2,25.0000,41,40,1,0,Production,2008-09-01,NULL,Current,0xFFD8FFE00010x0028A28A002
148,163,456839592,NULL,11,Robert,Rounthwaite,J,0,Production Technician - WC45,2008-09-02,1984-09-28,adventure-works\robert0,robert0@adventure-works.com,589-555-0147,S,Robert Rounthwaite,589-555-0147,0,M,1,10.0000,82,61,1,0,Production,2008-09-02,NULL,Current,0xFFD8FFE00010x4B9230DBE2C
149,43,131471224,NULL,11,Andreas,Berglund,T,0,Quality Assurance Technician,2008-09-02,1988-10-26,adventure-works\andreas0,andreas0@adventure-works.com,181-555-0124,M,Andreas Berglund,181-555-0124,0,M,2,10.5769,84,62,1,0,Quality Assurance,2008-09-02,NULL,Current,0xFFD8FFE00010x78DF950414D
150,188,259388196,NULL,11,Reed,Koch,T,0,Production Technician - WC30,2008-09-02,1988-08-08,adventure-works\reed0,reed0@adventure-works.com,678-555-0110,M,Reed Koch,678-555-0110,0,M,1,9.5000,23,31,1,0,Production,2008-09-02,NULL,Current,0xFFD8FFE0001
151,147,812797414,NULL,11,Linda,Randall,A,0,Production Technician - WC20,2008-09-03,1977-05-05,adventure-works\linda1,linda1@adventure-works.com,696-555-0157,S,Linda Randall,696-555-0157,0,F,1,14.0000,12,26,1,0,Production,2008-09-03,NULL,Current,0xFFD8FFE00010x770F830CEC8
152,112,519899904,NULL,11,James,Hamilton,R,0,Vice President of Production,2008-09-03,1988-02-04,adventure-works\james1,james1@adventure-works.com,870-555-0122,S,James Hamilton,870-555-0122,1,M,2,84.1346,64,52,1,0,Production,2008-09-03,NULL,Current,0xFFD8FFE00010xC8E4A65D870
153,44,314747499,NULL,11,Ramesh,Meyyappan,V,0,Application Specialist,2008-09-03,1987-10-12,adventure-works\ramesh0,ramesh0@adventure-works.com,182-555-0134,S,Ramesh Meyyappan,182-555-0134,1,M,2,27.4038,73,56,1,0,Information Services,2008-09-03,NULL,Current,0xFFD8FFE00010x87482EED09C
154,44,858323870,NULL,11,Stephanie,Conroy,A,0,Network Manager,2008-09-04,1983-10-24,adventure-works\stephanie0,stephanie0@adventure-works.com,594-555-0110,S,Stephanie Conroy,594-555-0110,1,F,2,39.6635,68,54,1,0,Information Services,2008-09-04,NULL,Current,0xFFD8FFE00010x25D5C4D2CE2
155,111,25011600,NULL,11,Samantha,Smith,H,0,Production Technician - WC20,2008-09-04,1987-06-22,adventure-works\samantha0,samantha0@adventure-works.com,587-555-0114,M,Samantha Smith,587-555-0114,0,F,1,14.0000,7,23,1,0,Production,2008-09-04,NULL,Current,0xFFD8FFE00010xC8BC43FB3DB
156,214,436757988,NULL,11,Tawana,Nusbaum,G,0,Production Technician - WC40,2008-09-05,1989-06-10,adventure-works\tawana0,tawana0@adventure-works.com,368-555-0113,S,Tawana Nusbaum,368-555-0113,0,M,1,15.0000,50,45,1,0,Production,2008-09-05,NULL,Current,0xFFD8FFE00010x9F486D0E7B4
157,16,652535724,NULL,11,Denise,Smith,H,0,Production Technician - WC50,2008-09-05,1988-02-04,adventure-works\denise0,denise0@adventure-works.com,869-555-0119,M,Denise Smith,869-555-0119,0,F,1,11.0000,9,24,1,0,Production,2008-09-05,NULL,Current,0xFFD8FFE00010xBFC7BF16F88
158,32,416679555,NULL,11,Hao,Chen,O,0,Human Resources Administrative Assistant,2008-09-06,1976-11-15,adventure-works\hao0,hao0@adventure-works.com,806-555-0136,S,Hao Chen,806-555-0136,0,M,2,13.9423,52,46,1,0,Human Resources,2008-09-06,NULL,Current,0xFFD8FFE00010xC7D2BF4DBC1
159,126,377784364,NULL,11,Alex,Nayberg,M,0,Production Technician - WC45,2008-09-08,1989-11-11,adventure-works\alex0,alex0@adventure-works.com,819-555-0198,M,Alex Nayberg,819-555-0198,0,M,1,10.0000,77,58,1,0,Production,2008-09-08,NULL,Current,0xFFD8FFE00010xC44FF82657E
160,9,66073987,NULL,11,Eugene,Kogan,O,0,Production Technician - WC60,2008-09-08,1975-09-10,adventure-works\eugene1,eugene1@adventure-works.com,173-555-0179,S,Eugene Kogan,173-555-0179,0,M,1,12.4500,36,38,1,0,Production,2008-09-08,NULL,Current,0xFFD8FFE00010x9248B3A5E92
161,18,999440576,NULL,11,Brandon,Heidepriem,G,0,Production Technician - WC60,2008-09-08,1976-08-10,adventure-works\brandon0,brandon0@adventure-works.com,429-555-0137,M,Brandon Heidepriem,429-555-0137,0,M,1,12.4500,22,31,1,0,Production,2008-09-08,NULL,Current,0xFFD8FFE00010xC1E83A53A8A
162,3,134969118,NULL,11,Dylan,Miller,A,0,Research and Development Manager,2008-09-08,1986-09-24,adventure-works\dylan0,dylan0@adventure-works.com,181-555-0156,M,Dylan Miller,181-555-0156,1,M,2,50.4808,61,50,1,0,Research and Development,2008-09-08,NULL,Current,0xFFD8FFE00010x0D1457F3C6C
163,23,551834634,NULL,11,Shane,Kim,S,0,Production Supervisor - WC45,2008-09-08,1989-12-22,adventure-works\shane0,shane0@adventure-works.com,810-555-0178,S,Shane Kim,810-555-0178,0,M,2,25.0000,75,57,1,0,Production,2008-09-08,NULL,Current,0xFFD8FFE00010x0BDF615E201
164,186,305522471,NULL,11,John,Chen,Y,0,Production Technician - WC20,2008-09-09,1985-11-03,adventure-works\john2,john2@adventure-works.com,201-555-0163,M,John Chen,201-555-0163,0,M,1,14.0000,18,29,1,0,Production,2008-09-09,NULL,Current,0xFFD8FFE00010x5FF8BFE2FD1
165,92,260770918,NULL,11,Karen,Berge,R,0,Document Control Assistant,2008-09-09,1975-07-25,adventure-works\karen0,karen0@adventure-works.com,746-555-0164,M,Karen Berge,746-555-0164,0,F,2,10.2500,79,59,1,0,Document Control,2008-09-09,NULL,Current,0xFFD8FFE00010xD8671EED1EC
166,18,788456780,NULL,11,Jose,Lugo,R,0,Production Technician - WC60,2008-09-10,1984-02-29,adventure-works\jose0,jose0@adventure-works.com,587-555-0115,M,Jose Lugo,587-555-0115,0,M,1,12.4500,20,30,1,0,Production,2008-09-10,NULL,Current,0xFFD8FFE0001
167,76,370581729,NULL,11,Mandar,Samant,H,0,Production Technician - WC50,2008-09-10,1985-10-19,adventure-works\mandar0,mandar0@adventure-works.com,140-555-0132,S,Mandar Samant,140-555-0132,0,M,1,11.0000,0,20,1,0,Production,2008-09-10,NULL,Current,0xFFD8FFE00010xFDE41FF7D56
168,278,603686790,NULL,11,Mikael,Sandberg,Q,0,Buyer,2008-09-10,1984-03-17,adventure-works\mikael0,mikael0@adventure-works.com,309-555-0170,S,Mikael Sandberg,309-555-0170,0,M,2,18.2692,59,49,1,0,Purchasing,2008-09-10,NULL,Current,0xFFD8FFE00010xFE15FF00C13
169,76,152085091,NULL,11,Sameer,Tejani,A,0,Production Technician - WC50,2008-09-11,1978-01-24,adventure-works\sameer0,sameer0@adventure-works.com,990-555-0172,M,Sameer Tejani,990-555-0172,0,M,1,11.0000,4,22,1,0,Production,2008-09-11,NULL,Current,0xFFD8FFE00010xF76BC8BC773
170,142,663843431,NULL,11,Dragan,Tomic,K,0,Accounts Payable Specialist,2008-09-11,1976-09-14,adventure-works\dragan0,dragan0@adventure-works.com,117-555-0185,M,Dragan Tomic,117-555-0185,0,M,2,19.0000,63,51,1,0,Finance,2008-09-11,NULL,Current,0xFFD8FFE00010xC60F018C49D
171,177,227319668,NULL,11,Carol,Philips,M,0,Production Technician - WC30,2008-09-12,1988-05-17,adventure-works\carol0,carol0@adventure-works.com,609-555-0153,M,Carol Philips,609-555-0153,0,F,1,9.5000,45,42,1,0,Production,2008-09-12,NULL,Current,0xFFD8FFE00010xA55C92C38E3
172,89,578953538,NULL,11,Rob,Caron,T,0,Production Technician - WC40,2008-09-13,1973-03-04,adventure-works\rob1,rob1@adventure-works.com,238-555-0116,S,Rob Caron,238-555-0116,0,M,1,15.0000,71,55,1,0,Production,2008-09-13,NULL,Current,0xFFD8FFE00010x8ECB2A7DD62
173,40,222400012,NULL,11,Don,Hall,L,0,Production Technician - WC50,2008-09-13,1971-01-11,adventure-works\don0,don0@adventure-works.com,100-555-0174,M,Don Hall,100-555-0174,0,M,1,11.0000,88,64,1,0,Production,2008-09-13,NULL,Current,0xFFD8FFE00010x722B9F4E78B
174,46,470689086,NULL,11,Alan,Brewer,J,0,Scheduling Assistant,2008-09-13,1983-10-28,adventure-works\alan0,alan0@adventure-works.com,438-555-0172,M,Alan Brewer,438-555-0172,0,M,2,16.0000,47,43,1,0,Production Control,2008-09-13,NULL,Current,0xFFD8FFE00010x8C8E4138E6B
